slot,proposer_index,node_address,mev_fee_recipients,fee_recipient
5303800,479038,0x9e43d1a488a2b3E0d5Bf8e0f4201b057f5Bb4391,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990
5312195,456278,0x2a3CA72F535F7B65c35006f8a6F2628Ff655bcCd,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5315910,485967,0xb15874BDCBa04d873cBf79bD8F12606e9A5Ca079,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5317013,263695,0x78a47e8041f0F34b52dDfD55ed0d4Fc8c0435995,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5317277,485932,0xB50bDA9cd9083613fC2fF4E4aeD0687c0FF64015,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5317791,416914,0x78ae61c6E2919231CDF0B69C6d8b70119Fe82539,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5329089,392978,0x8B2Efc253ece18e2d51d68771a085C14DDa26a5a,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5330145,449985,0x68d3081e20321c2386d038B688b045093f647e87,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5330820,260563,0x996D774e75955DF92d56a0aA148AAF76bd3C7ADf,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5335641,257534,0x3B31986844327B1f14F694064FC3f299E4066417,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5339308,263912,0xbfaf9BFa09F26EF8104A6d5FF09afdCC9300E5bc,,0x690B9A9E9aa1C9dB991C7721a92d351Db4FaC990
5343022,393142,0x0cFD4d7a65daD4034f23FD6c8A75db0661d89416,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5346354,399083,0x2b6fCa9AD7EBd5408dB009f0DF087Ffd934cF98e,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5351038,393342,0xd1892d3B28BB175eA4BCeCc85a1Aa364cE57E1CA,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5353180,386524,0xB498446d6B701407fed1F34a1A7328df3Aa32308,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5357991,457758,0x80b29ED78B08eDFd29A69009994401F9bFd27285,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5358843,411674,0x4680B01D48f107928Dc75C3Ae5C8296D8cB0b5f7,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5359875,287723,0x8B2Efc253ece18e2d51d68771a085C14DDa26a5a,,0xf573d99385C05c23B24ed33De616ad16a43a0919
5361849,268561,0x75224e800636c3D397bADb4D7c544e09aDDd8E0A,,0xf573d99385C05c23B24ed33De616ad16a43a0919
